#BomjSBagetom Anbennar Submod
#culture = plain_centaur
#religion = irdaeos_worship
culture = metsamic
religion = yukel_followers
hre = no

base_tax = 2
base_production = 2
base_manpower = 2
native_size = 1
native_ferocity = 5
native_hostileness = 4

trade_goods = fish

capital = ""
is_city = yes
#BomjSBagetom Anbennar Submod
#owner = I80
#controller = I80
#add_core = I80
#add_core = I50
owner = J50
controller = J50
add_core = J50

add_permanent_province_modifier = {
	name = volutsabaj_estuary_modifier
	duration = -1
}
